"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"192.168.1.164",1200,"142.104.5.64",80,131,110708,54,5987,77,104721,0,45.054006999999999,1063.0796945541381,18594.750074061114
"192.168.1.164",1201,"142.104.5.64",80,69,58060,28,2854,41,55206,2.6695539999999998,24.122219999999999,946.51321478703039,18308.762626325439
"192.168.1.164",1202,"142.104.105.208",80,29,20144,10,1343,19,18801,26.854911999999999,0.30032300000000234,35774.815781674784,500820.78295701236
"192.168.1.164",1203,"142.104.105.208",80,10,2061,5,637,5,1424,27.161722999999999,0.014006000000001961,363844.06682845112,813365.70041399437
"192.168.1.164",1204,"142.104.105.208",80,11,3284,5,645,6,2639,27.174666999999999,0.014316000000000884,360435.8759429786,1474713.6071527449
"192.168.1.164",1205,"142.104.105.208",80,11,5637,5,644,6,4993,27.210152000000001,0.023080000000000211,223223.57019063921,1730675.909878667
"192.168.1.164",1206,"142.104.105.208",80,11,2813,5,643,6,2170,27.230398999999998,0.020508000000003079,250828.94480199082,846498.92724777618
"192.168.1.164",1207,"142.104.105.208",80,8,3652,4,502,4,3150,27.230774,0.055474000000000245,72394.274795399324,454266.8637559918
"192.168.1.164",1208,"142.104.105.208",80,11,5647,5,653,6,4994,27.279983999999999,0.026104000000000127,200122.58657676887,1530493.4109714911
"192.168.1.164",1209,"142.104.105.208",80,22,12126,10,1646,12,10480,30.025742000000001,3.8135979999999989,3452.9072020700669,21984.488139546964
"192.168.1.164",1210,"142.104.105.208",80,8,3673,4,523,4,3150,30.190784000000001,0.052814999999998946,79219.918583737264,477137.1769383793
"192.168.1.164",1211,"142.104.105.208",80,35,24324,14,1622,21,22702,39.279150000000001,0.50951799999999992,25467.206261604108,356446.68098084861
"192.168.1.164",1212,"142.104.105.208",80,10,2109,5,689,5,1420,39.644283000000001,0.14490099999999728,38039.765080987039,78398.354738754133
"192.168.1.164",1213,"142.104.105.208",80,11,3338,5,699,6,2639,39.706015999999998,0.17626800000000031,31724.419633739475,119772.16511221528
"192.168.1.164",1214,"142.104.105.208",80,11,5691,5,698,6,4993,39.730769000000002,0.15705099999999561,35555.32916059214,254337.76289231598
"192.168.1.164",1215,"142.104.105.208",80,11,2867,5,697,6,2170,39.848827,0.14718599999999782,37884.037884038444,117946.00029894323
"192.168.1.164",1216,"142.104.105.208",80,8,3706,4,556,4,3150,39.853732999999998,0.19453200000000237,22865.132728805263,129541.6692369363
"192.168.1.164",1217,"142.104.100.111",80,14,5465,6,986,8,4479,131.95107400000001,0.078207999999989397,100859.24713585655,458162.84779056947
"192.168.1.164",1218,"142.104.100.111",80,11,3957,5,644,6,3313,132.082853,0.085180000000008249,60483.681615396818,311152.85278231313
"192.168.1.164",1219,"142.104.100.111",80,22,13589,10,2087,12,11502,139.57373200000001,12.515399000000002,1334.0365736641713,7352.222649873167
"192.168.1.164",1220,"142.104.100.111",80,36,34764,11,943,25,33821,152.103341,0.062178999999986218,121327.13617140308,4351436.9803319443
"192.168.1.164",1221,"142.104.100.111",80,47,36795,18,1512,29,35283,152.17832200000001,4.4792579999999873,2700.4472615777063,63015.794133760726
"192.168.1.164",1222,"142.104.100.111",80,36,34766,11,944,25,33822,156.65210500000001,0.067120999999985997,112513.2223894396,4031167.5928555364
"192.168.1.164",1223,"142.104.100.111",80,33,27522,12,1430,21,26092,156.71561600000001,4.8293469999999843,2368.8502814148655,43222.406673200472
"192.168.1.164",1224,"142.104.100.111",80,12,7183,5,614,7,6569,161.54390100000001,0.12283199999998828,39989.579262736654,427836.3944249464
"192.168.1.164",1225,"142.104.100.111",80,239,235514,82,4843,157,230671,161.61928700000001,16.204829999999987,2390.8920982201007,113877.6525270553
"192.168.1.164",1226,"142.104.100.1",53,9,1282,5,313,4,969,173.51283100000001,0.14025999999998362,17852.559532299249,55268.786539290639
"192.168.1.164",1227,"207.202.158.14",80,10,1308,5,711,5,597,173.60775899999999,0.13631500000002461,41726.882588115564,35036.49635035864
"192.168.1.164",1228,"207.202.158.14",80,6,366,3,186,3,180,173.757609,1.1808249999999987,1260.1359219189987,1219.4863760506439
"192.168.1.164",1229,"207.202.158.16",80,10,1319,5,672,5,647,174.93875800000001,2.8848700000000065,1863.5155136973201,1794.1882996460806
"192.168.1.164",1230,"207.202.158.16",80,10,1346,5,699,5,647,177.74211399999999,1.9627330000000143,2849.0884903855795,2637.1391320164089
"192.168.1.164",1231,"169.229.60.105",80,17,11338,6,786,11,10552,184.90973600000001,0.31003199999997832,20281.777364918587,272281.57093463221
"192.168.1.164",1232,"169.229.60.105",80,13,8704,5,618,8,8086,185.13857899999999,0.2863490000000013,17265.644371029681,225906.14948890937
"192.168.1.164",1233,"169.229.60.105",80,57,37644,22,1518,35,36126,185.379593,16.900598000000002,718.55445588375028,17100.45999555755
"192.168.1.164",1234,"142.104.100.111",80,30,11303,15,3036,15,8267,194.318386,25.71735000000001,944.42078985587511,2571.6491007043874
"192.168.1.164",1235,"142.104.100.111",80,164,147800,60,5080,104,142720,194.392019,25.643812999999994,1584.7877224810527,44523.799951278706
"192.168.1.164",1236,"209.198.98.149",80,11,2502,6,1200,5,1302,205.30165700000001,3.8689129999999921,2481.3171037963425,2692.2290576190317
"192.168.1.164",1237,"209.198.98.149",80,81,40355,30,5103,51,35252,207.19141999999999,19.758899000000014,2066.1070234733206,14272.860041442582
"192.168.1.164",1238,"209.198.98.149",80,98,71919,35,3692,63,68227,226.860545,19.813364000000007,1490.7110170690848,27547.871224694594
"192.168.1.164",1239,"66.102.7.147",80,9,2430,5,746,4,1684,239.20212799999999,4.5017780000000016,1325.6984240448992,2992.5953700959922
"192.168.1.164",1240,"209.198.98.149",80,25,8141,10,2249,15,5892,245.34787700000001,1.0255879999999991,17543.106978630811,45959.976130766001
"192.168.1.164",1241,"216.239.59.104",80,8,1392,4,688,4,704,249.85798700000001,0.71318299999998658,7717.5142985742841,7896.9913752853136
"192.168.1.164",1242,"66.102.7.147",80,23,9057,10,1546,13,7511,250.53571099999999,11.230769000000009,1101.260296601238,5350.3014798007107
"192.168.1.164",1243,"66.102.7.147",80,7,1031,4,682,3,349,263.67509100000001,0.32378599999998414,16850.635913845155,8622.9793752668011
"192.168.1.164",1244,"128.119.85.98",80,14,5632,6,788,8,4844,263.83817599999998,0.84878200000002835,7427.1132045681807,45656.010612853133
"192.168.1.164",1245,"128.119.85.98",80,20,12510,8,737,12,11773,264.44807700000001,0.76942800000000489,7662.8352490420966,122407.81463632647
"192.168.1.164",1246,"132.170.108.140",80,49,38323,20,2262,29,36061,266.57874600000002,15.973937999999976,1132.8452633283057,18059.91734787004
"192.168.1.164",1247,"132.170.108.140",80,20,12503,9,779,11,11724,266.97515499999997,15.577233000000035,400.07105241347972,6021.0950173243082
